Dataset,Model,MSE,RMSE,MAE,NDCG@5,NDCG@10,Recall@5,Recall@10,RMSE_Improvement_%
YAHOO,Naive ERM,0.09444244205951687,0.3073139841587674,0.2389113555351893,0.8207019903809826,0.8324320674181722,0.8205241099744697,0.8585816868912953,0.0
YAHOO,IPS,0.09460397561391191,0.3075768556634817,0.23836429913838705,0.8205765505300792,0.8322596809462802,0.8204882663943907,0.8586064555308707,-0.08666666666666668
YAHOO,SNIPS,0.0948152442773183,0.3079179173319176,0.23744956155618033,0.8203714613566637,0.831912927474307,0.8210225268166963,0.858693770510706,-0.19999999999999998
YAHOO,CRM,0.09496839592854178,0.3081613072666924,0.23829232652982077,0.8206542299978783,0.8323019032275057,0.8206477897112036,0.8586785142514831,-0.27666666666666667
YAHOO,DR,0.09446937590837473,0.3073568599939855,0.23794420560201004,0.8206973308658062,0.8324851110257875,0.8200951205646829,0.8586290819630644,-0.013333333333333336
COAT,Naive ERM,0.19985349227984742,0.43958524944607374,0.3496007819970448,0.6621214998158086,0.7948564682113722,0.6401819923371647,0.9758620689655172,0.0
COAT,IPS,0.19697589178880048,0.4364933011991258,0.3486710786819458,0.662402883345305,0.7926270696723465,0.6466652983032294,0.9758620689655172,0.68
COAT,SNIPS,0.19832986593246457,0.4374448560745658,0.3494688073794046,0.6595376676098152,0.7929408885758006,0.6401436781609195,0.9758620689655172,0.6166666666666667
COAT,CRM,0.19904607286055878,0.4385604707589404,0.3506345947583516,0.645901281626701,0.7836293616735936,0.633003557744937,0.9758620689655172,0.2733333333333333
COAT,DR,0.19805666555960966,0.4375823920372546,0.34950748085975647,0.662963768789904,0.7940655248369035,0.6425273672687465,0.9758620689655172,0.45999999999999996
KUAIREC,Naive ERM,8.763994325515037e-06,0.002959948815909,0.0010077868937514332,0.4100039226219143,0.4405268638284559,0.0,0.0,0.0
KUAIREC,IPS,8.5729373798434e-06,0.0029277917455986335,0.0009592091858696999,0.42951767615011693,0.45858643373618174,0.0,0.0,1.0733333333333333
KUAIREC,SNIPS,8.763388905208558e-06,0.0029598072526182333,0.0010015536099671667,0.41731897820891567,0.4460542767665907,0.0,0.0,0.003333333333333336
KUAIREC,CRM,8.474163829911655e-06,0.002911025636798367,0.0009457567163432333,0.4306698296123613,0.4595440271113722,0.0,0.0,1.6266666666666667
KUAIREC,DR,8.757979533887314e-06,0.002958838301410433,0.0010097348519289998,0.4110872381229849,0.4411048032609602,0.0,0.0,0.039999999999999994
