Dataset,fraction,sample_size,relative_ESS_mean,relative_ESS_std,repeats
COAT,0.01,1000,0.6973438125450933,0.008653847188062846,5
COAT,0.05,1000,0.6968771148118192,0.0073528704099844544,5
COAT,0.1,1160,0.6999897752420853,0.005686971387196132,5
COAT,0.25,2900,0.8051965621118417,0.00824222617006417,5
COAT,0.5,5800,0.8757280509803472,0.006144730344169831,5
COAT,0.75,8700,0.8917228687741202,0.0034166488893172422,5
COAT,1.0,11600,0.9008723213920385,7.021666937153402e-17,5
YAHOO,0.01,3117,0.46493744496634093,0.005855447189755635,5
YAHOO,0.05,15585,0.3574596274365259,0.011125868845404554,5
YAHOO,0.1,31170,0.37661796083293897,0.004397440872844444,5
YAHOO,0.25,77926,0.40225960554093687,0.008348360430072317,5
YAHOO,0.5,155852,0.4164113635546579,0.001884919234451884,5
YAHOO,0.75,233778,0.42049592917293255,0.0009546449375787467,5
YAHOO,1.0,311704,0.42314113443878687,4.2998752849492583e-17,5
